DL_Eng,DL_EKM,T_Acc (MBSE),T_I (MBSE),T_Acc (LFSystemSimulator),T_I (LFSystemSimulator),T_Acc (CAD),T_I (CAD),T_Acc (IDE),T_I (IDE),T_Acc (ECAD),T_I (ECAD),T_Acc (FEM),T_I (FEM),T_Acc (CurcuitSimulation),T_I (CurcuitSimulation),T_Acc (new),T_I (new),T_Usab (new),New Tool,Cost,Lead Time,Effectivness,Average Iterations,First Pass Yield,Rel Cost Physical,Work Efficency,Average Consitency
1.5885723393631666,2.875024943162968,0.1341184995221972,0.7405647615025899,0.3749687466114646,0.0232330548229865,0.7943653228822974,0.8482395551922135,0.5296171992644039,0.0506763485180937,0.4262128123334352,0.0690996872568218,0.2696124406782295,0.3533924067644319,0.4016420593505987,0.4458153922237585,0.3330035113615619,0.52945074768838,2.137784993081137,True,1443.7,113.8,0.353,6.0,0.139,0.659,0.552,0.671
2.863242182509336,2.8792976175810967,0.4065402026417449,0.4417130170557182,0.3333656082583621,0.0929345205392047,0.5036033325923585,0.7981615224426003,0.6114654654103311,0.4227519854267865,0.6487319577968785,0.4954406786025125,0.8088523933200535,0.5819573698718735,0.7840269356275724,0.1625877814545828,0.5354422006305944,0.0524518515312344,2.3133834308223014,False,1130.5,75.4,0.382,6.5,0.132,0.729,0.448,0.699
2.2744917814594445,2.546668791702346,0.5142095695060067,0.5795316100561929,0.7365014012020518,0.1110551898435989,0.8602950019650826,0.7488890042602031,0.3436824512689996,0.308308337777276,0.4093725560398045,0.9542691381260142,0.4570945540167042,0.5762474902094956,0.2665937671359487,0.178824903880388,0.2562364466069613,0.5250445594561105,2.1198809194548653,False,1258.7,86.9,0.356,6.1,0.098,0.742,0.464,0.701
2.3883630619633323,1.5238282208745657,0.6387559313962724,0.6993757858762707,0.7089861981969589,0.982798484969508,0.6190631607039212,0.3021593061284564,0.3853635201323276,0.0237340210449946,0.5971212396907689,0.0482506093135978,0.3479619517527553,0.508085396071557,0.6228456749276725,0.8711183222735855,0.4854763846044517,0.0456892673031941,1.6929128957935489,True,1512.1,119.4,0.325,8.5,0.092,0.65,0.401,0.547
2.2036333699382933,2.2481944381348287,0.7042922761727456,0.9088105690382092,0.5783918282771666,0.13649911399042,0.6082283072567656,0.7602332267733274,0.5511815309096137,0.2066386319657016,0.6300353689536442,0.0863197151422344,0.7211325912240503,0.9753437408469308,0.5121066573900411,0.5991968254011097,0.3781914421313763,0.5963406248952594,1.965272837978611,True,1303.2,104.5,0.349,7.6,0.113,0.684,0.504,0.661
2.6922202695422564,2.5993114527073824,0.6266589899022545,0.235464429628843,0.8501638984498302,0.0554786484063693,0.4380641305342927,0.8274518758715219,0.5219899302302985,0.6659619130502793,0.8205495545370965,0.2679840183969798,0.481434225546659,0.858039395661918,0.5622734991425463,0.1066588448141186,0.2655971798802065,0.2906960386243817,1.982004909198369,True,1247.4,96.1,0.366,7.0,0.135,0.678,0.474,0.689
2.732437646010712,2.728003316669631,0.1857623320485079,0.5060227026640371,0.8146226924668499,0.4680389939075222,0.4298586991447252,0.3875457329163054,0.8290247845961007,0.4608183538534321,0.6399266381769875,0.8807631276734634,0.2863210341660476,0.4562351611250608,0.2377935066579323,0.5580816879465258,0.8006449193154274,0.1001644883587015,2.673126074019324,False,1357.0,92.9,0.32,6.2,0.085,0.758,0.459,0.681
1.390786091740801,1.782186296992338,0.481599351004906,0.5016513925028355,0.8651572129546234,0.2643191745452105,0.7538252424152682,0.7614158934222234,0.8622072877424025,0.1937917152916871,0.6051262772725681,0.1531324546446111,0.1147907406181857,0.1766642323919476,0.6439494854936227,0.646292136438089,0.4238276908036457,0.115832309488898,1.350942319762682,False,1602.3,110.7,0.335,6.9,0.111,0.681,0.499,0.64
1.0861854028284943,1.6641058508163913,0.7466490341385309,0.5431006701119019,0.3674629535217488,0.0839041666383436,0.5501767117178361,0.2167195453072314,0.7523578279557744,0.2442385479225237,0.3977182866171574,0.8624690186270251,0.1370541600519544,0.1360184643984625,0.5223603056464016,0.3662993857506739,0.4817766262811321,0.4977906167934771,2.980852938575442,False,1749.2,123.9,0.337,7.0,0.11,0.641,0.513,0.595
1.383647144783146,2.5797870067240325,0.5275273933570047,0.7463289181145849,0.214454576463215,0.812466406883782,0.8782638326924767,0.5630750859691599,0.1586758380692138,0.5569578285261455,0.2897563149824197,0.560270453014127,0.5007575248837522,0.9196718071151588,0.1009416758314451,0.9282650173157792,0.8829415425003329,0.5864871273166058,1.1582052880975764,False,1450.3,100.1,0.347,6.1,0.098,0.707,0.569,0.68
