Cost,Lead Time,Risk,Rework Effectivness,Average Iterations,FPY,Physical Cost,Work Efficiency,Average Consitency,T_Acc (MBSE),T_I (MBSE),DL_Eng,DL_EKM,New Tool,T_Acc (new),T_I (new),T_Usab,T_Acc (LFSystemSimulator),T_I (LFSystemSimulator),T_Acc (CAD),T_I (CAD),T_Acc (IDE),T_I (IDE),T_Acc (ECAD),T_I (ECAD),T_Acc (FEM),T_I (FEM),T_Acc (CurcuitSimulation),T_I (CurcuitSimulation)
1288.4,92.5,2101.1,0.375,6.8,0.114,0.619,0.336,0.625,0.8,0.8,3,1,False,0.2,0.8,3,0.8,0.2,0.5,0.8,0.2,0.2,0.8,0.2,0.5,0.2,0.8,0.2
1635.4,146.8,47416.4,0.318,7.1,0.107,0.522,0.406,0.558,0.2,0.8,3,1,True,0.5,0.2,3,0.8,0.8,0.2,0.2,0.5,0.8,0.8,0.8,0.8,0.8,0.2,0.2
1475.6,109.7,8496.1,0.373,4.9,0.099,0.578,0.647,0.748,0.2,0.8,1,3,False,0.5,0.5,1,0.8,0.2,0.8,0.8,0.8,0.8,0.8,0.8,0.5,0.8,0.5,0.2
2146.2,150.2,55027,0.308,6.9,0.073,0.524,0.513,0.535,0.2,0.2,1,1,False,0.2,0.2,1,0.2,0.2,0.8,0.2,0.2,0.2,0.2,0.8,0.2,0.8,0.2,0.8
1650.6,117.6,12416.6,0.351,5.6,0.088,0.556,0.604,0.66,0.2,0.5,1,3,False,0.5,0.5,2,0.8,0.5,0.2,0.2,0.2,0.8,0.2,0.8,0.5,0.2,0.2,0.8
1175,81.8,1276.3,0.367,5.5,0.099,0.672,0.516,0.719,0.5,0.8,2,2,False,0.2,0.2,3,0.5,0.8,0.8,0.8,0.2,0.2,0.8,0.8,0.2,0.8,0.8,0.2
1147,77.6,285.6,0.359,5.7,0.099,0.682,0.471,0.706,0.5,0.5,3,3,False,0.8,0.5,2,0.5,0.5,0.5,0.5,0.2,0.2,0.2,0.8,0.5,0.8,0.5,0.2
1528,104.4,8666,0.399,6.2,0.13,0.523,0.56,0.656,0.8,0.2,1,3,False,0.8,0.8,2,0.5,0.8,0.8,0.2,0.2,0.2,0.5,0.5,0.2,0.2,0.5,0.2
1161.6,81.1,419.7,0.338,5,0.089,0.712,0.509,0.755,0.2,0.8,3,3,False,0.8,0.5,1,0.8,0.8,0.5,0.8,0.2,0.8,0.8,0.8,0.5,0.2,0.2,0.2
1417.2,101.1,2802.9,0.399,5.8,0.116,0.55,0.606,0.695,0.8,0.8,1,3,False,0.2,0.2,1,0.2,0.8,0.8,0.5,0.2,0.2,0.8,0.2,0.8,0.8,0.5,0.5
1218.2,82.7,724,0.333,5.4,0.088,0.684,0.485,0.731,0.2,0.2,3,3,False,0.8,0.8,2,0.5,0.2,0.2,0.8,0.2,0.5,0.8,0.8,0.8,0.5,0.2,0.2
1396.9,91.4,1734.2,0.349,7.1,0.114,0.602,0.336,0.62,0.8,0.2,3,1,False,0.2,0.8,1,0.2,0.8,0.8,0.5,0.2,0.8,0.8,0.5,0.2,0.2,0.8,0.2
1358.6,87.6,1873,0.36,7.1,0.122,0.602,0.344,0.625,0.8,0.2,3,1,False,0.8,0.5,2,0.8,0.8,0.2,0.8,0.8,0.5,0.2,0.2,0.8,0.2,0.8,0.5
1201.5,77.8,450.4,0.378,6.4,0.123,0.624,0.457,0.653,0.8,0.2,2,3,False,0.2,0.8,3,0.8,0.5,0.5,0.2,0.5,0.8,0.2,0.2,0.5,0.2,0.8,0.8
1593.4,117.7,12193.7,0.351,5.3,0.089,0.575,0.628,0.714,0.2,0.8,1,3,False,0.5,0.8,3,0.8,0.2,0.5,0.8,0.2,0.5,0.2,0.2,0.2,0.2,0.8,0.8
1619.4,115.5,16235.9,0.369,6.3,0.106,0.548,0.583,0.62,0.5,0.8,1,2,False,0.2,0.2,2,0.2,0.8,0.2,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.2,0.8
1356.2,88.7,1774.1,0.343,7.1,0.098,0.615,0.375,0.628,0.8,0.2,3,1,False,0.2,0.5,3,0.2,0.8,0.2,0.8,0.2,0.8,0.2,0.2,0.8,0.5,0.8,0.2
1107.9,76.6,363.2,0.395,5.7,0.123,0.651,0.487,0.72,0.8,0.8,2,2,False,0.5,0.8,3,0.2,0.8,0.2,0.8,0.8,0.8,0.5,0.2,0.2,0.2,0.5,0.8
1922.4,142.1,42974.3,0.326,6.5,0.085,0.551,0.552,0.557,0.2,0.8,1,1,False,0.8,0.5,1,0.5,0.8,0.5,0.5,0.8,0.2,0.8,0.2,0.8,0.8,0.8,0.5
1706.3,123.1,15760.4,0.335,5.9,0.077,0.565,0.614,0.62,0.2,0.8,1,3,False,0.2,0.2,1,0.2,0.8,0.2,0.2,0.5,0.2,0.5,0.2,0.8,0.2,0.8,0.8
1544.7,133.6,23191.9,0.391,6.9,0.166,0.393,0.61,0.632,0.5,0.5,1,3,True,0.8,0.2,1,0.8,0.2,0.5,0.2,0.8,0.2,0.5,0.2,0.8,0.8,0.8,0.2
1368.1,115,9948.5,0.326,5.6,0.079,0.619,0.522,0.706,0.2,0.8,3,3,True,0.2,0.2,3,0.2,0.2,0.2,0.8,0.2,0.2,0.8,0.2,0.2,0.5,0.2,0.2
1417.6,95.1,3292.8,0.37,6.9,0.122,0.583,0.367,0.636,0.8,0.2,2,1,False,0.2,0.5,3,0.2,0.5,0.8,0.8,0.8,0.2,0.2,0.8,0.8,0.2,0.8,0.2
1853.5,123.7,20343.4,0.363,7.4,0.095,0.496,0.49,0.574,0.8,0.2,1,1,False,0.2,0.2,2,0.5,0.8,0.8,0.2,0.5,0.2,0.8,0.5,0.8,0.8,0.8,0.2
1732.8,148,39765.6,0.392,7.6,0.155,0.373,0.525,0.62,0.8,0.2,1,1,True,0.8,0.5,1,0.5,0.5,0.8,0.8,0.2,0.2,0.5,0.5,0.8,0.5,0.5,0.8
1622.4,113.8,10167.1,0.389,6.6,0.121,0.517,0.535,0.62,0.8,0.5,1,1,False,0.8,0.2,1,0.8,0.8,0.8,0.5,0.8,0.8,0.8,0.8,0.2,0.8,0.5,0.2
1114.1,73.3,149.8,0.381,6,0.119,0.654,0.434,0.71,0.8,0.2,3,3,False,0.2,0.5,2,0.5,0.5,0.8,0.5,0.5,0.5,0.8,0.5,0.8,0.2,0.2,0.5
1545.1,132,27470.9,0.41,5.8,0.115,0.465,0.65,0.687,0.8,0.8,1,3,True,0.8,0.8,2,0.2,0.8,0.2,0.2,0.2,0.5,0.2,0.8,0.8,0.8,0.8,0.2
1438.1,101.8,4427.9,0.4,5.3,0.113,0.547,0.604,0.717,0.5,0.5,1,3,False,0.2,0.8,2,0.2,0.8,0.8,0.5,0.8,0.5,0.5,0.8,0.2,0.5,0.8,0.8
1368.5,92.5,2302.5,0.309,6.2,0.083,0.679,0.45,0.614,0.2,0.5,3,2,False,0.5,0.8,2,0.8,0.5,0.8,0.2,0.2,0.8,0.8,0.2,0.5,0.5,0.2,0.2
1020.7,71.3,377.2,0.386,5.3,0.112,0.695,0.503,0.768,0.8,0.8,3,3,False,0.2,0.8,1,0.2,0.8,0.2,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.2
