Cost,Lead Time,Risk,Rework Effectivness,Average Iterations,FPY,Physical Cost,Work Efficiency,Average Consitency,T_Acc (MBSE),T_I (MBSE),DL_Eng,DL_EKM,New Tool,T_Acc (new),T_I (new),T_Usab,T_Acc (LFSystemSimulator),T_I (LFSystemSimulator),T_Acc (CAD),T_I (CAD),T_Acc (IDE),T_I (IDE),T_Acc (ECAD),T_I (ECAD),T_Acc (FEM),T_I (FEM),T_Acc (CurcuitSimulation),T_I (CurcuitSimulation)
1101.7,76.5,711,0.368,5.6,0.113,0.696,0.501,0.711,0.5,0.8,3,2,False,0.8,0.2,2,0.5,0.8,0.2,0.8,0.5,0.8,0.5,0.2,0.5,0.8,0.5,0.8
1632.1,116,12465.6,0.391,6.7,0.131,0.515,0.532,0.63,0.8,0.5,1,1,False,0.2,0.8,1,0.2,0.2,0.5,0.8,0.8,0.5,0.2,0.5,0.8,0.8,0.8,0.5
1444.3,101.9,4154.4,0.406,6.1,0.135,0.537,0.575,0.647,0.8,0.8,1,2,False,0.2,0.2,1,0.2,0.8,0.2,0.2,0.8,0.8,0.5,0.2,0.8,0.2,0.2,0.8
1203.1,101.6,4591,0.4,5.7,0.119,0.57,0.507,0.726,0.8,0.8,2,2,True,0.2,0.2,2,0.8,0.2,0.2,0.8,0.2,0.5,0.8,0.5,0.5,0.5,0.5,0.8
1639.5,135.7,30353.4,0.374,6.2,0.108,0.473,0.624,0.689,0.5,0.2,1,3,True,0.5,0.8,1,0.8,0.5,0.2,0.5,0.2,0.5,0.5,0.2,0.2,0.5,0.8,0.8
1177,78,722.6,0.369,5.7,0.117,0.647,0.513,0.711,0.5,0.2,2,3,False,0.8,0.8,1,0.8,0.8,0.8,0.5,0.2,0.8,0.8,0.5,0.8,0.8,0.2,0.8
1632.3,108.5,8979.3,0.289,7,0.081,0.624,0.375,0.542,0.2,0.2,3,1,False,0.5,0.5,2,0.8,0.2,0.5,0.2,0.2,0.8,0.2,0.5,0.8,0.8,0.2,0.8
1132.5,76.3,384.9,0.379,5.9,0.113,0.652,0.43,0.725,0.8,0.2,3,2,False,0.8,0.2,1,0.8,0.2,0.8,0.8,0.5,0.5,0.5,0.8,0.2,0.2,0.8,0.2
1699.1,146,47657.6,0.411,6.1,0.118,0.415,0.635,0.688,0.8,0.2,1,2,True,0.5,0.5,3,0.2,0.5,0.8,0.5,0.8,0.5,0.2,0.8,0.2,0.8,0.2,0.2
1369.6,89,1545.6,0.35,7.1,0.127,0.613,0.369,0.623,0.8,0.2,3,1,False,0.8,0.2,3,0.8,0.8,0.8,0.8,0.2,0.5,0.8,0.2,0.2,0.5,0.8,0.8
