Name,DOE,Number,Mean Cost,Mean Lead Time,Mean Quality,Risk,Effectivness,Average Iterations,First Pass Yield,Rel Cost Physical,Work Efficency,Average Consitency
DOE4-204,DOE4,204,2103.3,180.6,0.801,170702.3,0.247,8.6,0.068,0.617,0.535,0.576
DOE4-203,DOE4,203,1529.5,144.8,0.812,61089.4,0.281,9.1,0.092,0.597,0.434,0.598
DOE4-268,DOE4,268,1489.9,114.5,0.813,22206.3,0.3,9.2,0.11,0.627,0.356,0.595
DOE4-257,DOE4,257,1602.9,127.1,0.82,34724.1,0.258,9.4,0.079,0.667,0.331,0.575
DOE4-250,DOE4,250,1834,151.2,0.807,75812.5,0.26,7.4,0.069,0.64,0.615,0.652
DOE4-259,DOE4,259,1352.4,107.8,0.811,13350.8,0.288,8.6,0.092,0.689,0.458,0.61
DOE4-266,DOE4,266,1502.5,146.7,0.821,59319.1,0.326,9.7,0.179,0.423,0.631,0.621
DOE4-261,DOE4,261,1908.1,161,0.802,105154.4,0.255,8.2,0.07,0.637,0.594,0.592
DOE4-188,DOE4,188,1950,187.8,0.81,215763.1,0.232,9.4,0.07,0.605,0.38,0.527
DOE4-186,DOE4,186,2285.6,187.5,0.807,195700.5,0.233,9,0.063,0.606,0.518,0.556
DOE4-187,DOE4,187,1456.9,116.8,0.817,20965.1,0.269,10,0.081,0.683,0.394,0.57
DOE4-189,DOE4,189,1234.7,99.2,0.81,8319,0.296,7.4,0.09,0.724,0.433,0.676
DOE4-194,DOE4,194,1961.9,193.7,0.8,219390.8,0.264,7.1,0.074,0.557,0.655,0.685
DOE4-193,DOE4,193,1497.4,123.9,0.809,32706.1,0.27,9.3,0.083,0.684,0.34,0.544
DOE4-192,DOE4,192,1321.3,105.1,0.809,12670.1,0.295,8.2,0.094,0.689,0.464,0.656
DOE4-195,DOE4,195,1528.9,136.1,0.811,47005.9,0.244,8.1,0.065,0.69,0.507,0.618
DOE4-243,DOE4,243,1232.9,98.4,0.815,7663.1,0.302,8.9,0.107,0.689,0.422,0.598
DOE4-244,DOE4,244,2172.6,216.1,0.808,320736.8,0.244,8.6,0.061,0.567,0.608,0.583
DOE4-272,DOE4,272,1176.8,92.9,0.822,5050.5,0.314,8,0.11,0.699,0.431,0.67
DOE4-275,DOE4,275,1501,125.6,0.808,32196.8,0.244,8.6,0.078,0.729,0.446,0.598
DOE4-221,DOE4,221,1666.4,138.2,0.81,53669.7,0.289,7.4,0.077,0.625,0.605,0.702
DOE4-219,DOE4,219,1264.6,104.4,0.814,10903.9,0.296,7.3,0.092,0.721,0.491,0.702
DOE4-226,DOE4,226,1552.7,124.4,0.807,28854.4,0.251,8.8,0.086,0.7,0.41,0.593
DOE4-210,DOE4,210,1830.1,148.9,0.809,76260.8,0.266,8,0.069,0.626,0.61,0.625
DOE4-228,DOE4,228,1653.2,135.7,0.806,47914.6,0.248,10.3,0.079,0.67,0.334,0.504
DOE4-217,DOE4,217,2187.4,220.2,0.813,332833.8,0.255,10.7,0.076,0.49,0.505,0.528
DOE4-274,DOE4,274,1664,140.1,0.805,53870.8,0.285,6.9,0.08,0.64,0.62,0.697
DOE4-273,DOE4,273,1792.6,173.7,0.811,144641.3,0.277,8,0.076,0.562,0.667,0.655
DOE4-245,DOE4,245,1370.8,108,0.807,13061.5,0.277,8.7,0.093,0.684,0.497,0.613
DOE4-242,DOE4,242,1327.1,122.5,0.813,32000.5,0.288,7,0.083,0.668,0.578,0.746
DOE4-229,DOE4,229,2224.4,181.1,0.812,174780.4,0.244,9.2,0.063,0.596,0.502,0.527
DOE4-216,DOE4,216,1084.7,103.9,0.821,8280.8,0.356,8.7,0.181,0.534,0.541,0.691
DOE4-211,DOE4,211,1862.4,154.7,0.81,87643.1,0.272,8.6,0.066,0.613,0.571,0.585
DOE4-218,DOE4,218,1027.5,95.4,0.829,5268.2,0.371,9.5,0.208,0.539,0.491,0.634
DOE4-227,DOE4,227,1264.1,101.4,0.81,9810.2,0.303,7.9,0.105,0.691,0.474,0.665
DOE4-220,DOE4,220,1251.5,115.5,0.81,18849.9,0.32,7.8,0.114,0.611,0.526,0.685
DOE4-264,DOE4,264,2104.7,178.7,0.809,170270.4,0.246,9.1,0.072,0.615,0.552,0.545
DOE4-263,DOE4,263,1316.5,108.8,0.812,16722.2,0.288,7.7,0.086,0.721,0.491,0.686
DOE4-255,DOE4,255,1721.6,145.8,0.816,66292.7,0.273,7.7,0.065,0.644,0.625,0.666
DOE4-252,DOE4,252,1280.5,104.9,0.816,9895.7,0.276,7.5,0.076,0.741,0.472,0.68
DOE4-206,DOE4,206,1193.7,94,0.809,5802.8,0.301,8.2,0.11,0.711,0.472,0.637
DOE4-239,DOE4,239,1414.1,132.9,0.812,43899.6,0.285,8.3,0.083,0.642,0.478,0.619
DOE4-201,DOE4,201,1758.3,171.7,0.802,181813.5,0.276,6.7,0.067,0.607,0.635,0.735
DOE4-237,DOE4,237,2288.3,196.1,0.804,233349.8,0.232,9.5,0.065,0.598,0.506,0.521
DOE4-208,DOE4,208,1779.6,149.7,0.817,74419.9,0.224,9.5,0.064,0.699,0.349,0.508
DOE4-230,DOE4,230,1623.8,123.6,0.812,29791.9,0.281,10.4,0.114,0.609,0.275,0.505
DOE4-253,DOE4,253,1757.3,144.7,0.804,65451.6,0.281,7.7,0.081,0.619,0.581,0.615
DOE4-254,DOE4,254,1274.5,106.1,0.808,9936.1,0.27,6.8,0.083,0.76,0.505,0.748
DOE4-262,DOE4,262,1466.5,113.8,0.809,18773.9,0.277,10,0.107,0.654,0.365,0.59
DOE4-265,DOE4,265,1921.8,162,0.806,116720.9,0.25,8.2,0.07,0.64,0.622,0.612
DOE4-231,DOE4,231,1217.1,99.4,0.816,7672.8,0.306,7.2,0.084,0.721,0.499,0.693
DOE4-236,DOE4,236,1493.7,120.5,0.816,27895.1,0.285,10.7,0.109,0.63,0.375,0.51
DOE4-209,DOE4,209,1268.6,101.9,0.813,8713.9,0.279,7.5,0.083,0.741,0.481,0.682
DOE4-200,DOE4,200,1689.7,141.9,0.802,90294.6,0.283,7.3,0.078,0.635,0.609,0.686
DOE4-207,DOE4,207,1718.7,146.9,0.804,77320.9,0.276,7,0.075,0.639,0.611,0.694
DOE4-238,DOE4,238,1787.5,140,0.811,56181.7,0.252,9.7,0.078,0.633,0.331,0.524
DOE4-185,DOE4,185,1474.7,140,0.812,52378.9,0.256,9.8,0.086,0.637,0.48,0.599
DOE4-190,DOE4,190,1537.9,123.5,0.805,30357.1,0.267,9.7,0.108,0.654,0.342,0.533
